141000,187166,105961,148818,174166
141333,187166,106000,149000,174200
141375,187333,106000,149000,174200
141479,187363,106019,149125,174333
141538,187411,106095,149323,174400
141692,187500,106181,149325,174500
141804,187500,106192,149333,174627
142300,187733,106210,149389,174636
142401,187875,106333,149400,174692
142428,187966,106416,149407,174750
142592,188000,106600,149444,174800
142800,188000,106700,149466,174800
142908,188333,106769,149470,174867
143095,188352,106833,149500,174933
143767,188818,106882,149500,174944
143804,189000,106906,149555,175049
143823,189095,107000,149840,175217
144200,189166,107050,150076,175232
144213,189333,107200,150242,175258
144612,189340,107214,150272,175400
144722,189368,107333,150333,175444
144769,189384,107347,150342,175466
144833,189600,107500,150346,175666
144888,189727,107800,150375,175719
145000,189750,107866,150388,176095
145158,190000,107875,150400,176130
145391,190166,108125,150454,176166
145525,190200,108187,150571,176200
145548,190217,108294,150590,176307
145625,190300,108310,150857,176312
145909,190333,108333,150888,176379
145939,190444,108536,150907,176400
146086,191000,108800,150928,176500
146339,191230,108857,150938,176536
146600,191571,108875,151000,176600
146640,191595,109000,151050,176692
146752,192200,109040,151072,176833
146829,192363,109200,151111,176851
147000,192437,109285,151166,176857
147450,192600,109285,151172,177200
147484,192666,109400,151217,177400
147600,192769,109400,151333,177611
147800,192800,109714,151355,177666
147846,192800,109727,151450,177857
148166,192818,109846,151523,177916
148326,193000,109933,151600,177962
148368,193060,110000,151647,178147
148595,193166,110066,151666,178200
148689,193250,110111,151763,178263
148714,193250,110166,151812,178307
148886,193428,110181,151833,178600
149000,193535,110250,151837,178615
149013,194030,110629,151900,178655
149096,194117,110785,151948,178666
149136,194142,110916,152000,178684
149321,194200,111000,152000,178705
149384,194333,111125,152000,178731
149385,194437,111166,152000,178965
150086,194714,111214,152081,179027
150350,194833,111266,152211,179080
150357,194875,111384,152254,179272
150707,195125,111391,152347,179349
150764,195200,111409,152348,179406
151250,195200,111620,152357,179448
151933,195333,111770,152492,179466
152152,195555,111857,152526,179636
152185,195555,111857,152545,179636
152714,195787,111900,152666,179666
152758,196000,111904,152692,179674
153070,196250,111933,152714,179700
153309,196307,112064,152735,179714
153757,196312,112300,152823,179775
153833,196506,112333,152833,179971
154000,196720,112357,152833,180025
154500,196800,112555,152845,180240
154782,196888,112625,152913,180314
154826,196900,112636,152933,180333
154874,197055,112687,152944,180371
155000,197142,112714,153000,180391
155163,197166,112857,153055,180400
155190,197200,112857,153066,180411
155400,197285,112888,153136,180421
155454,197315,112895,153285,180428
155518,197500,112900,153500,180461
155600,197600,113083,153540,180513
156058,197955,113100,153642,180555
156166,198000,113153,153666,180571
156300,198000,113300,153800,180594
156333,198000,113333,154000,180600
156410,198000,113400,154083,180657
156500,198071,113633,154117,180666
156714,198142,114000,154121,180680
156921,198333,114000,154125,180684
156992,198384,114250,154230,180733
157000,198400,114333,154230,180761
157000,198454,114400,154400,180796
157285,198500,114428,154444,180800
157329,198666,114428,154666,181000
157400,198800,114437,154708,181000
157507,198818,114500,154715,181055
157887,198833,114666,154815,181253
158062,198875,114681,154964,181266
158200,198969,114692,155000,181285
158571,199000,114722,155142,181407
158750,199000,114727,155218,181500
158800,199166,114774,155245,181500
159400,199285,115000,155285,181511
159428,199466,115037,155285,181517
160000,199549,115074,155350,181571
160214,199800,115081,155441,181571
160400,199800,115100,155444,181638
160818,199875,115125,155472,181750
160869,200192,115225,155563,181777
161000,200300,115266,155586,181833
161111,200360,115363,155600,181869
161142,200600,115375,155636,181900
161333,200625,115400,155685,181916
161428,200633,115410,155714,181944
161500,200900,115428,155763,182000
161594,201000,115454,156083,182080
161605,201111,115571,156200,182324
161875,201153,115600,156355,182465
161975,201250,115712,156380,182484
162000,201333,115750,156400,182750
162166,201384,115800,156630,182772
162190,201400,115818,156630,182795
162736,201470,116250,156714,182945
162750,201714,116290,156762,183125
163250,201851,116309,156785,183125
163791,201900,116400,156818,183161
163800,202000,116545,156821,183250
164157,202000,116555,156857,183309
164250,202317,116645,157000,183318
164400,202333,116650,157000,183400
